Price,Close,High,Low,Open,Volume
Ticker,YFI-USD,YFI-USD,YFI-USD,YFI-USD,YFI-USD
Date,,,,,
2022-08-01,11679.5029296875,12079.8515625,10871.6318359375,10889.90625,192962454
2022-08-02,10781.421875,11784.6328125,10665.9423828125,11671.9560546875,162538145
2022-08-03,10748.919921875,11186.3212890625,10453.341796875,10780.5556640625,106665700
2022-08-04,10669.373046875,11106.810546875,10453.8623046875,10753.3046875,94559987
2022-08-05,12251.0048828125,12256.693359375,10627.1357421875,10667.0888671875,150484142
2022-08-06,11750.8330078125,12252.38671875,11628.5185546875,12252.38671875,103413723
2022-08-07,11420.716796875,11751.3701171875,11309.3193359375,11751.3701171875,64757396
2022-08-08,11446.4306640625,11952.4912109375,11369.6630859375,11422.1796875,72626159
2022-08-09,11211.435546875,11535.7705078125,10812.5361328125,11445.78125,73713828
2022-08-10,11439.451171875,11812.3818359375,10811.6494140625,11209.5185546875,90103972
2022-08-11,11290.9638671875,11775.171875,11215.0078125,11447.8154296875,71277988
2022-08-12,11518.2197265625,11569.2490234375,11085.0595703125,11289.7763671875,62079843
2022-08-13,11405.4951171875,12130.427734375,11371.9580078125,11515.6357421875,121298277
2022-08-14,11223.4404296875,11707.4052734375,11030.125,11407.392578125,64675702
2022-08-15,11118.7001953125,11555.322265625,10925.0244140625,11223.72265625,56473717
2022-08-16,11024.794921875,11214.8837890625,10882.0849609375,11109.04296875,50868648
2022-08-17,11122.6748046875,11583.931640625,10937.099609375,11021.9150390625,88205861
2022-08-18,10224.3916015625,11310.55859375,10186.3603515625,11128.2041015625,65823719
2022-08-19,8705.056640625,10244.029296875,8695.2626953125,10223.8642578125,111035559
2022-08-20,8534.6162109375,9100.6123046875,8303.1357421875,8703.4033203125,58903370
2022-08-21,8759.5107421875,8875.0283203125,8517.640625,8533.3828125,40080045
2022-08-22,8936.177734375,8940.71875,8275.8896484375,8758.5830078125,51697043
2022-08-23,9230.4677734375,9316.08203125,8791.9150390625,8935.251953125,58232528
2022-08-24,9348.607421875,9537.8095703125,9012.5029296875,9229.1845703125,53099007
2022-08-25,9814.1474609375,10171.294921875,9346.3818359375,9349.35546875,76881034
2022-08-26,8951.576171875,9907.34375,8909.8388671875,9812.8779296875,71819040
2022-08-27,8794.4521484375,9096.4794921875,8633.4375,8950.873046875,49422008
2022-08-28,8462.369140625,8965.21484375,8462.369140625,8793.5537109375,32437818
2022-08-29,9077.138671875,9083.33203125,8450.3818359375,8467.2392578125,44082446
2022-08-30,8868.3046875,9274.90234375,8617.6533203125,9077.63671875,54393064
2022-08-31,9024.73046875,9247.7451171875,8866.83984375,8866.83984375,46455734
2022-09-01,9217.830078125,9304.8330078125,8799.818359375,9024.994140625,50356967
2022-09-02,10081.013671875,10297.033203125,9096.9892578125,9217.69140625,135880624
2022-09-03,9790.4443359375,10081.21875,9408.0283203125,10081.21875,70410120
2022-09-04,9426.8740234375,9824.037109375,9325.0546875,9792.2158203125,46196835
2022-09-05,9505.73046875,9581.7158203125,9293.2578125,9426.98046875,39041887
2022-09-06,8636.8466796875,9730.22265625,8621.5654296875,9506.7783203125,67631147
2022-09-07,9362.359375,9575.6123046875,8519.10546875,8635.2060546875,69141605
2022-09-08,9261.8623046875,9502.3984375,9061.4873046875,9361.0224609375,49717911
2022-09-09,10460.177734375,11215.3896484375,9255.9814453125,9262.7001953125,175238004
2022-09-10,10438.1943359375,10506.9404296875,10170.8173828125,10458.4560546875,67162906
2022-09-11,10166.919921875,10562.814453125,9963.6455078125,10439.171875,45647862
2022-09-12,9755.23828125,10349.48828125,9748.6845703125,10170.96875,51087765
2022-09-13,9159.9970703125,10143.0419921875,8983.8447265625,9755.1064453125,68171399
2022-09-14,9197.1630859375,9305.7548828125,8946.6865234375,9041.4287109375,48077071
2022-09-15,8515.72265625,9201.556640625,8495.1416015625,9196.0439453125,54743924
2022-09-16,8658.95703125,8799.8564453125,8446.654296875,8514.5517578125,47178513
2022-09-17,9351.015625,9363.2734375,8658.6337890625,8658.6337890625,55423691
2022-09-18,8330.736328125,9355.302734375,8255.740234375,9355.302734375,60596000
2022-09-19,8495.6787109375,8563.2685546875,8116.5078125,8332.408203125,55130553
2022-09-20,8451.1845703125,8587.400390625,8342.267578125,8496.4072265625,40841787
2022-09-21,8029.92822265625,8780.4580078125,7880.0849609375,8451.5986328125,67115637
2022-09-22,8455.9384765625,8508.44921875,7988.8310546875,8025.31591796875,42382212
2022-09-23,8410.0400390625,8615.6298828125,8093.6142578125,8454.806640625,43475149
2022-09-24,8231.251953125,8469.15625,8209.9765625,8411.0908203125,22360297
2022-09-25,8099.044921875,8361.36328125,8058.73095703125,8230.787109375,25198106
2022-09-26,8318.44921875,8364.4580078125,7978.9091796875,8097.63720703125,33225395
2022-09-27,8304.08984375,8824.447265625,8176.5966796875,8318.1904296875,57770445
2022-09-28,8207.2021484375,8344.490234375,7925.8408203125,8302.591796875,46869773
2022-09-29,8139.3212890625,8272.2626953125,7979.41943359375,8206.8994140625,30500646
2022-09-30,8112.046875,8288.498046875,8067.63427734375,8137.1953125,34067392
2022-10-01,8078.1220703125,8191.3251953125,8041.2333984375,8114.41064453125,19279185
2022-10-02,7882.517578125,8131.79541015625,7882.09228515625,8077.880859375,20069245
2022-10-03,8129.28662109375,8148.166015625,7850.3759765625,7882.63623046875,19915002
2022-10-04,8340.291015625,8349.5380859375,8068.759765625,8128.16552734375,25480955
2022-10-05,8314.4833984375,8376.744140625,8133.34326171875,8340.9111328125,22168855
2022-10-06,8207.1123046875,8431.705078125,8172.81201171875,8314.0654296875,21064892
2022-10-07,8079.92724609375,8229.2666015625,8017.34716796875,8207.7158203125,18167620
2022-10-08,8032.154296875,8126.5712890625,7982.677734375,8081.02734375,12884588
2022-10-09,8081.310546875,8118.99609375,8008.28271484375,8032.0751953125,11120861
2022-10-10,7863.32861328125,8163.7431640625,7863.32861328125,8081.3837890625,16371966
2022-10-11,7813.69189453125,7927.9697265625,7652.65625,7863.23583984375,22033563
2022-10-12,7878.77783203125,7919.14404296875,7792.8193359375,7814.896484375,15584458
2022-10-13,7720.10546875,7886.220703125,7280.91357421875,7878.7548828125,38843650
2022-10-14,7566.76953125,7954.97900390625,7506.71435546875,7720.50146484375,26066079
2022-10-15,7538.24560546875,7616.22216796875,7495.7626953125,7566.62255859375,16753416
2022-10-16,7747.9990234375,7808.24560546875,7538.015625,7538.015625,17004290
2022-10-17,7906.9140625,7975.9345703125,7698.98046875,7747.7802734375,21148568
2022-10-18,7727.8759765625,7953.4697265625,7556.6171875,7906.40283203125,20681269
2022-10-19,7487.94091796875,7740.7236328125,7476.38671875,7728.013671875,17014211
2022-10-20,7513.46044921875,7714.5029296875,7440.06689453125,7488.80517578125,17091542
2022-10-21,7621.99169921875,7642.6259765625,7315.67138671875,7513.56787109375,19995554
2022-10-22,7594.21533203125,7652.34375,7513.7119140625,7622.0546875,15600579
2022-10-23,7786.2314453125,7881.16455078125,7508.193359375,7594.35302734375,18714894
2022-10-24,7618.4169921875,7809.8876953125,7522.36474609375,7786.6337890625,17135007
2022-10-25,8047.4521484375,8424.2490234375,7612.8642578125,7618.4755859375,50352985
2022-10-26,8157.8916015625,8366.1484375,8026.2119140625,8044.2470703125,34906951
2022-10-27,8023.36279296875,8560.509765625,8006.611328125,8158.23681640625,33642632
2022-10-28,8223.2080078125,8315.5888671875,7896.89306640625,8023.02001953125,26919014
2022-10-29,8370.724609375,8508.1669921875,8208.3857421875,8222.5537109375,36338500
2022-10-30,8191.98486328125,8633.6171875,8112.4765625,8369.724609375,24951408
2022-10-31,8130.2490234375,8338.1171875,8050.40478515625,8190.78076171875,21502324
2022-11-01,8022.69677734375,8230.1982421875,7992.755859375,8129.83544921875,18213700
2022-11-02,7855.994140625,8176.5498046875,7703.79345703125,8021.787109375,31967530
2022-11-03,7925.3701171875,8470.83984375,7835.97314453125,7856.16259765625,61803826
2022-11-04,8384.6044921875,8446.1240234375,7917.302734375,7925.048828125,42108743
2022-11-05,8270.259765625,8565.904296875,8228.5087890625,8384.421875,38270300
2022-11-06,7938.587890625,8292.3984375,7938.587890625,8269.349609375,24868753
2022-11-07,7989.84375,8177.482421875,7853.12158203125,7938.9560546875,27614588
2022-11-08,6687.7783203125,8027.63916015625,6484.4443359375,7989.3154296875,79899456
2022-11-09,5483.94140625,6700.998046875,5345.23583984375,6688.63916015625,67848848
2022-11-10,6673.21142578125,6858.5947265625,5428.0439453125,5484.64892578125,55991673
2022-11-11,6423.396484375,6684.1845703125,6184.93896484375,6672.0576171875,27003496
2022-11-12,5766.09228515625,6437.275390625,5748.9013671875,6423.87890625,32079994
2022-11-13,5712.6904296875,5930.01904296875,5615.07861328125,5766.72998046875,31646225
2022-11-14,6011.1416015625,6239.24365234375,5431.8515625,5711.07177734375,32544418
2022-11-15,6434.3369140625,6676.49462890625,5977.2275390625,6011.6259765625,42668757
2022-11-16,6283.9326171875,6697.33251953125,6232.34423828125,6434.3173828125,39074801
2022-11-17,6003.3125,6356.828125,5991.02685546875,6283.2978515625,19572227
2022-11-18,6089.6455078125,6215.97607421875,5932.7373046875,6003.87548828125,18423625
2022-11-19,6573.455078125,6684.33984375,6035.56396484375,6088.9638671875,40450661
2022-11-20,6117.2265625,6750.77099609375,6061.6240234375,6573.427734375,52890768
2022-11-21,6080.4140625,6448.15283203125,5764.53369140625,6118.9228515625,45247950
2022-11-22,6148.90869140625,6248.28076171875,5825.48583984375,6079.271484375,36667109
2022-11-23,6222.00341796875,6360.44580078125,6037.59326171875,6151.1328125,25151196
2022-11-24,6101.6103515625,6314.8662109375,6078.85791015625,6222.75634765625,15146045
2022-11-25,6298.32275390625,6458.10986328125,5993.8125,6101.38525390625,39305015
2022-11-26,6363.86376953125,6391.59130859375,6257.3466796875,6298.025390625,17999841
2022-11-27,6249.19873046875,6516.7900390625,6248.56640625,6363.640625,17856405
2022-11-28,6268.029296875,6315.7939453125,6021.56201171875,6248.89990234375,22201038
2022-11-29,6452.31494140625,6499.02392578125,6229.740234375,6268.6640625,20827680
2022-11-30,6762.90771484375,6869.98095703125,6452.17822265625,6452.4423828125,41832699
2022-12-01,6680.7705078125,6764.38037109375,6561.86962890625,6763.37451171875,18569168
2022-12-02,6809.38623046875,6830.96044921875,6522.50830078125,6683.0517578125,24259155
2022-12-03,6633.15380859375,6830.7646484375,6609.578125,6810.52392578125,21473370
2022-12-04,7323.048828125,7422.765625,6632.87548828125,6632.87548828125,49959935
2022-12-05,7161.79541015625,7459.01708984375,7052.18798828125,7323.01318359375,39536200
